"COU ; Reporting country ; FLW ; Flow ; PAR ; Partner country ; CAT ; End-use ; IND ; Industry ; VAL ; Variable ; TIME ; Time ; Unit Code ; Unit ; PowerCode Code ; PowerCode ; Reference Period Code ; Reference Period ; Value ; Flag Codes ; Flags"
"USA ; United States ; EXPO ; Exports ; CRI ; Costa Rica ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 7311571.089 ;  ; "
"USA ; United States ; EXPO ; Exports ; CUB ; Cuba ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 323457.325 ;  ; "
"USA ; United States ; EXPO ; Exports ; DMA ; Dominica ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 522810.555 ;  ; "
"USA ; United States ; EXPO ; Exports ; DOM ; Dominican Republic ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 10444400.292 ;  ; "
"USA ; United States ; EXPO ; Exports ; ECU ; Ecuador ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 5019482.919 ;  ; "
"USA ; United States ; EXPO ; Exports ; GTM ; Guatemala ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 7996920.297 ;  ; "
"USA ; United States ; EXPO ; Exports ; GUY ; Guyana ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 990834.044 ;  ; "
"USA ; United States ; EXPO ; Exports ; HND ; Honduras ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 6512259.548 ;  ; "
"USA ; United States ; EXPO ; Exports ; JAM ; Jamaica ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 1961716.27 ;  ; "
"USA ; United States ; EXPO ; Exports ; MSR ; Montserrat ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 10265.104 ;  ; "
"USA ; United States ; EXPO ; Exports ; KNA ; Saint Kitts and Nevis ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 146954.42 ;  ; "
"USA ; United States ; EXPO ; Exports ; BHR ; Bahrain ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 936191.191 ;  ; "
"USA ; United States ; EXPO ; Exports ; BGD ; Bangladesh ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 2337368.79 ;  ; "
"USA ; United States ; EXPO ; Exports ; BRN ; Brunei Darussalam ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 99280.605 ;  ; "
"USA ; United States ; EXPO ; Exports ; BTN ; Bhutan ; TOTAL ; Total trade in goods ; DTOTAL ; TOTAL ; VALUE ; Values in thousand USD ; 2021 ; 2021 ; USD ; US Dollar ; 3 ; Thousands ;  ;  ; 5921.086 ;  ; "
