Column1;exporter;importer;secgroup;product;v2020;v2018;v2019
2105160;CHN;FIN;CAT;TT;5406.20321709827;4781.28260565199;4821.6693151806
2105544;CHN;FRA;CAT;TT;35517.8145322437;51489.6380963202;51951.4746245901
2105928;CHN;G20;CAT;TT;1471350.18541169;1553516.03547698;1477085.9070266
2106312;CHN;G8;CAT;TT;902659.161330926;1004958.33467375;919002.084923991
2106696;CHN;GAB;CAT;TT;449.257568559675;431.821673621721;408.50774422128
2107080;CHN;GBR;CAT;TT;65151.0610604955;54565.789793508;56475.0279108586
2107464;CHN;GLF;CAT;TT;101005.580696524;88854.6353654168;98876.4557233771
2107848;CHN;GOA;CAT;TT;67629.4078755889;65900.0608020378;68249.9307693525
2108232;CHN;GRC;CAT;TT;3719.50415948899;3655.92665940873;3919.52470274442
2108616;CHN;HKG;CAT;TT;24339.8699921634;25146.7035617636;30017.0984926691
2109000;CHN;HRV;CAT;TT;1855.00014961549;1595.20134146924;1471.24213930857
2109384;CHN;HUN;CAT;TT;9756.335101841;8846.31423760074;8350.15906478751
2109768;CHN;IDN;CAT;TT;45553.9716000791;48685.4318147037;50566.6365060754
2110152;CHN;IND;CAT;TT;75641.9967547188;89679.1882180492;85803.2719796013
2110536;CHN;IRL;CAT;TT;6181.04835583283;5484.06138858808;5006.24865405187
2110920;CHN;ISL;CAT;TT;465.473028107071;677.332417656538;478.154708386238
2111304;CHN;ISR;CAT;TT;6872.68247246062;9356.97875591158;9185.19248121777
2111688;CHN;ITA;CAT;TT;31820.3637126475;31422.0436278451;30496.4499869833
2112072;CHN;JPN;CAT;TT;156931.742999625;166398.960455517;162126.216757941
2112456;CHN;KAZ;CAT;TT;12498.8781940279;11842.0597900349;13357.5750826144
2112840;CHN;KEN;CAT;TT;5895.4928559308;5707.42198238822;5519.752701957
2113224;CHN;KGZ;CAT;TT;2993.37561615444;5808.58237318316;6607.47178524129
2113608;CHN;KOR;CAT;TT;104205.171838477;101774.287767835;102562.909667311
2113992;CHN;LBY;CAT;TT;1894.28550931741;1452.97394664633;2475.05822811547
2114376;CHN;LKA;CAT;TT;4363.7301256873;5093.15827711462;4617.6705314973
2114760;CHN;LTU;CAT;TT;2056.65330744851;2010.48534295854;1912.95088969292
2115144;CHN;LUX;CAT;TT;593.196515357284;550.36961144392;578.142662276317
2115528;CHN;LVA;CAT;TT;1166.91555586336;1265.32353074282;1161.73120198063
2115912;CHN;MAR;CAT;TT;5336.12957593572;4700.71810728973;5069.14704577253
2116296;CHN;MED;CAT;TT;179868.303352722;194473.805593619;193560.043151789
2116680;CHN;MENA;CAT;TT;147675.433468744;138342.34390593;150193.172637031
2117064;CHN;MERC;CAT;TT;54915.2561180081;57767.8023109192;54600.3920781052
2117448;CHN;MEX;CAT;TT;68760.2202344045;76619.1667523851;75951.1783468171
2117832;CHN;MKD;CAT;TT;534.38379770043;460.761625381094;487.216718215075
2118216;CHN;MLT;CAT;TT;1485.9099381624;1466.28329524861;1182.39646936728
2118600;CHN;MOA;CAT;TT;8045.71363091259;8336.20125526297;9745.77121525961
2118984;CHN;MYS;CAT;TT;61046.8780803672;52407.137094142;58837.8380265567
2119368;CHN;NGA;CAT;TT;23730.8427276728;16259.3226885327;21146.6736935428
2119752;CHN;NLD;CAT;TT;45226.3403124043;40721.8584949056;42438.4821328999
2120136;CHN;NOR;CAT;TT;8562.11155370857;7688.29709790963;7659.37105499957
2120520;CHN;NRD;CAT;TT;28787.0707039433;26979.6040110617;27183.9092172927
2120904;CHN;NZL;CAT;TT;7537.54613606007;7791.00555219627;7692.21740860298
2121288;CHN;OCN;CAT;TT;62980.3947848867;60299.5847195336;59607.6850811715
2121672;CHN;OECD;CAT;TT;1399295.14090431;1481637.10953192;1395680.82901433
2122056;CHN;OPEC;CAT;TT;140384.15294808;123196.841410852;137585.573670105
2122440;CHN;PAK;CAT;TT;16814.428161495;18493.5550004331;17177.3055456194
2122824;CHN;PED;CAT;TT;1055571.65180991;1005334.43040239;1047010.23647538
2123208;CHN;PER;CAT;TT;10234.5275734652;9723.83854288993;10094.7285504618
2123592;CHN;PHL;CAT;TT;44271.971810451;38555.3401087633;44943.6521065175
2123976;CHN;PMA;CAT;TT;80302.9345719262;75378.7940728915;83486.6893382269
2124360;CHN;PMO;CAT;TT;115923.976799897;106547.815376591;117807.419419854
2124744;CHN;POL;CAT;TT;35241.1374616514;29283.8959413251;30875.9877008151
2125128;CHN;PRT;CAT;TT;3059.58284845667;2580.13931734471;2870.50954500683
2125512;CHN;PRY;CAT;TT;3023.51377378955;3778.32420946321;2029.67992419606
2125896;CHN;RCEP;CAT;TT;690891.020379989;652445.241550361;677380.788148132
2126280;CHN;ROM;CAT;TT;5916.67098664399;5501.36179550264;5363.94551457318
2126664;CHN;RUS;CAT;TT;60657.9390053943;60147.4288755117;60792.8335786563
2127048;CHN;SAF;CAT;TT;18608.3704197291;20719.4394389296;20270.2812481121
2127432;CHN;SAU;CAT;TT;33376.1728209352;22954.5745633789;30626.5249540246
2127816;CHN;SEM;CAT;TT;2827.89516020286;1907.35928006468;2138.41058835179
2128200;CHN;SGP;CAT;TT;25962.6304613257;29489.1019641661;28489.7901067764
2128584;CHN;SUN;CAT;TT;103511.339923995;103049.580341994;109475.16525747
2128968;CHN;SVK;CAT;TT;5649.95894824555;5518.1347201006;5788.69134914152
2129352;CHN;SVN;CAT;TT;3907.29872424513;4845.6194770605;3808.27547964648
2129736;CHN;SWE;CAT;TT;7942.56609955997;7757.91732943114;8255.94173301825
2130120;CHN;THA;CAT;TT;57871.7468030502;53257.1092086213;53081.9818595345
2130504;CHN;TUN;CAT;TT;2073.95282370514;2158.27456567859;2075.25875995961
2130888;CHN;TUR;CAT;TT;20223.7422402315;18701.6036916681;16656.5503352307
2131272;CHN;TWN;CAT;TT;61741.7535636485;51816.7741464446;55472.1371322729
2131656;CHN;UE;CAT;TT;411581.33099621;398078.331184443;400372.10350745
2132040;CHN;UKR;CAT;TT;8893.3970289134;8487.18637152512;9820.17554025734
2132424;CHN;URY;CAT;TT;1816.83112489021;2227.49509975268;2091.56599929386
2132808;CHN;USA;CAT;TT;405017.862885857;498993.928010524;418081.996121282
2133192;CHN;VEN;CAT;TT;1938.11645720768;2166.28192784138;1916.06006908609
2133576;CHN;VNM;CAT;TT;121058.846495815;91515.4368672828;105823.912869572
2133960;CHN;WLD;CAT;TT;2441950.30672741;2467402.30108423;2440356.72176851
2134344;CHN;XXX;CAT;TT;19.9153469245883;46.5220784438838;74.5450422938132
2134728;CHN;YUG;CAT;TT;9805.45728097071;9501.52499439161;8616.87483840816
2135112;CIV;AES;CAT;TT;1592.56290499148;1599.84379838594;1549.96789716418
2135496;CIV;AFA;CAT;TT;244.525101061786;363.863811;254.027855
2135880;CIV;AFN;CAT;TT;109.90619977451;93.7526934360935;114.209332063133
