,exporter,importer,secgroup,product,v2020
101064,AFA,SVN,CAT,TT,5.85784234504973
101448,AFA,SWE,CAT,TT,10.779556119844
101832,AFA,THA,CAT,TT,372.259047244797
102216,AFA,TUN,CAT,TT,16.7097627369996
102600,AFA,TUR,CAT,TT,288.733957410077
102984,AFA,TWN,CAT,TT,65.5212703890595
103368,AFA,UE,CAT,TT,3632.05598767474
103752,AFA,UKR,CAT,TT,136.830596
104136,AFA,URY,CAT,TT,1.4700567256596
104520,AFA,USA,CAT,TT,1088.77782695645
104904,AFA,VEN,CAT,TT,0.166259056065138
105288,AFA,VNM,CAT,TT,469.313968839748
105672,AFA,WLD,CAT,TT,25220.7526200399
106056,AFA,XXX,CAT,TT,0.0
106440,AFA,YUG,CAT,TT,20.7739286197267
106824,AFN,AES,CAT,TT,2430.55383796139
107208,AFN,AFA,CAT,TT,336.759410522591
107592,AFN,AFN,CAT,TT,6469.88093251658
107976,AFN,AFR,CAT,TT,21575.1274582407
108360,AFN,AFS,CAT,TT,4913.55406049883
108744,AFN,AFZ,CAT,TT,2741.1158849248
109128,AFN,ALB,CAT,TT,90.5266253272391
109512,AFN,AMA,CAT,TT,316.109876605408
109896,AFN,AME,CAT,TT,10257.2775122051
110280,AFN,AMN,CAT,TT,5931.76972922901
110664,AFN,AMS,CAT,TT,4325.50778297614
111048,AFN,ANE,CAT,TT,6276.08790047454
111432,AFN,AOA,CAT,TT,5.3561523180163
111816,AFN,AOZ,CAT,TT,8.21942113293705
112200,AFN,APEC,CAT,TT,15982.3534912519
112584,AFN,ARG,CAT,TT,447.046223614528
112968,AFN,ASEA,CAT,TT,2434.87633162604
113352,AFN,ASO,CAT,TT,13605.460287238
113736,AFN,ASS,CAT,TT,4609.29770231624
114120,AFN,AUS,CAT,TT,249.802406933633
114504,AFN,AUT,CAT,TT,725.758158210528
114888,AFN,BAL,CAT,TT,221.372799774591
115272,AFN,BEL,CAT,TT,812.687817013372
115656,AFN,BGD,CAT,TT,287.519752137344
116040,AFN,BGR,CAT,TT,507.335975125247
116424,AFN,BIH,CAT,TT,21.9828552468277
116808,AFN,BLR,CAT,TT,58.222976319384
117192,AFN,BLX,CAT,TT,824.511566270876
117576,AFN,BOL,CAT,TT,2.22542909201708
117960,AFN,BRA,CAT,TT,3255.28054066633
118344,AFN,BRIC,CAT,TT,7658.64995110092
118728,AFN,BRN,CAT,TT,4.32249366464805
119112,AFN,CAL,CAT,TT,1.46365746833232
119496,AFN,CAN,CAT,TT,1385.574885
119880,AFN,CAU,CAT,TT,34.5209901492213
120264,AFN,CEA,CAT,TT,24.7996645523253
120648,AFN,CEI,CAT,TT,1422.40308660999
121032,AFN,CHE,CAT,TT,730.426314236474
121416,AFN,CHL,CAT,TT,31.4454578290653
121800,AFN,CHN,CAT,TT,3426.43851555595
122184,AFN,CIV,CAT,TT,426.3666328149
122568,AFN,CMR,CAT,TT,203.093618212577
122952,AFN,COL,CAT,TT,64.0885393108872
123336,AFN,CSK,CAT,TT,1209.40049955754
123720,AFN,CYP,CAT,TT,135.382957349099
124104,AFN,CZE,CAT,TT,572.140305306004
124488,AFN,DEU,CAT,TT,5930.38036520456
124872,AFN,DEV,CAT,TT,60141.4876182934
125256,AFN,DNK,CAT,TT,98.4054814747103
125640,AFN,DZA,CAT,TT,1221.02367786382
126024,AFN,E15,CAT,TT,49387.2026143613
126408,AFN,E28,CAT,TT,54610.1244563178
126792,AFN,ECU,CAT,TT,16.2521761668361
127176,AFN,EGY,CAT,TT,607.708855961291
127560,AFN,EM1,CAT,TT,10352.2287469479
127944,AFN,ENM,CAT,TT,5813.29704281793
128328,AFN,ESP,CAT,TT,11341.6404900567
128712,AFN,EST,CAT,TT,154.728819349044
129096,AFN,EUA,CAT,TT,8198.1377168083
129480,AFN,EUC,CAT,TT,61828.8521159674
129864,AFN,EUR,CAT,TT,48584.8785401062
130248,AFN,FIN,CAT,TT,66.4076011233151
130632,AFN,FRA,CAT,TT,12855.3093574058
131016,AFN,G20,CAT,TT,82132.6066970895
131400,AFN,G8,CAT,TT,30125.4789607897
131784,AFN,GAB,CAT,TT,94.0285245487985
132168,AFN,GBR,CAT,TT,2401.81314376867
132552,AFN,GLF,CAT,TT,8200.50752375192
132936,AFN,GOA,CAT,TT,5170.62100997822
133320,AFN,GRC,CAT,TT,1502.50731483194
133704,AFN,HKG,CAT,TT,95.5135028951023
134088,AFN,HRV,CAT,TT,98.7750322495079
134472,AFN,HUN,CAT,TT,493.494995153846
134856,AFN,IDN,CAT,TT,446.820913737742
135240,AFN,IND,CAT,TT,3576.5508115001
135624,AFN,IRL,CAT,TT,129.854213209447
136008,AFN,ISL,CAT,TT,21.1415157377025
136392,AFN,ISR,CAT,TT,178.763091251485
136776,AFN,ITA,CAT,TT,10569.6066443842
137160,AFN,JPN,CAT,TT,893.784199285766
137544,AFN,KAZ,CAT,TT,87.9224100752722
137928,AFN,KEN,CAT,TT,406.437326368548
138312,AFN,KGZ,CAT,TT,3.64126288081636
138696,AFN,KOR,CAT,TT,1408.07508134981
139080,AFN,LBY,CAT,TT,1150.3805867731
139464,AFN,LKA,CAT,TT,43.2741620881958
139848,AFN,LTU,CAT,TT,55.4418951286484
140232,AFN,LUX,CAT,TT,11.8237492575044
140616,AFN,LVA,CAT,TT,11.2020852968992
141000,AFN,MAR,CAT,TT,1278.18047652345
141384,AFN,MED,CAT,TT,50730.0058363751
141768,AFN,MENA,CAT,TT,16661.5733977418
142152,AFN,MERC,CAT,TT,3837.89563130893
142536,AFN,MEX,CAT,TT,362.693550150076
142920,AFN,MKD,CAT,TT,63.0481603838128
143304,AFN,MLT,CAT,TT,640.906436394993
143688,AFN,MOA,CAT,TT,1812.42185022186
144072,AFN,MYS,CAT,TT,312.646097597793
144456,AFN,NGA,CAT,TT,422.834345341906
144840,AFN,NLD,CAT,TT,2136.47023493257
145224,AFN,NOR,CAT,TT,182.240931695
145608,AFN,NRD,CAT,TT,567.519285154989
145992,AFN,NZL,CAT,TT,39.7184395521468
146376,AFN,OCN,CAT,TT,289.52084648578
146760,AFN,OECD,CAT,TT,66965.3811677793
147144,AFN,OPEC,CAT,TT,11115.0090252476
147528,AFN,PAK,CAT,TT,684.054909474994
147912,AFN,PED,CAT,TT,44086.9110396943
148296,AFN,PER,CAT,TT,47.5084818618264
148680,AFN,PHL,CAT,TT,85.0636186016451
149064,AFN,PMA,CAT,TT,3038.31871566342
149448,AFN,PMO,CAT,TT,10191.6924652253
149832,AFN,POL,CAT,TT,1165.07384874644
150216,AFN,PRT,CAT,TT,605.214288363551
150600,AFN,PRY,CAT,TT,37.3142073220633
150984,AFN,RCEP,CAT,TT,8452.69497430335
151368,AFN,ROM,CAT,TT,488.883379262862
151752,AFN,RUS,CAT,TT,972.608401213989
152136,AFN,SAF,CAT,TT,282.918317764704
152520,AFN,SAU,CAT,TT,3029.8865137737
152904,AFN,SEM,CAT,TT,191.673384980329
153288,AFN,SGP,CAT,TT,933.466740528218
153672,AFN,SUN,CAT,TT,1643.77588638458
154056,AFN,SVK,CAT,TT,637.260194251537
154440,AFN,SVN,CAT,TT,262.295918342376
154824,AFN,SWE,CAT,TT,199.32375512426
155208,AFN,THA,CAT,TT,557.439898755595
155592,AFN,TUN,CAT,TT,2212.58733539492
155976,AFN,TUR,CAT,TT,4495.28478543225
156360,AFN,TWN,CAT,TT,452.276601387915
156744,AFN,UE,CAT,TT,52208.3113125491
157128,AFN,UKR,CAT,TT,240.687381418981
157512,AFN,URY,CAT,TT,98.2546597060069
157896,AFN,USA,CAT,TT,4183.50129407893
158280,AFN,VEN,CAT,TT,9.98219080117478
158664,AFN,VNM,CAT,TT,93.65291127207
159048,AFN,WLD,CAT,TT,108601.243999653
159432,AFN,XXX,CAT,TT,1334.52662600227
159816,AFN,YUG,CAT,TT,637.775351202853
160200,AFR,AES,CAT,TT,63446.9999336364
160584,AFR,AFA,CAT,TT,7275.24934211187
160968,AFR,AFN,CAT,TT,20968.7290034294
161352,AFR,AFR,CAT,TT,203763.450274297
161736,AFR,AFS,CAT,TT,72135.0756523598
162120,AFR,AFZ,CAT,TT,39686.7154365333
162504,AFR,ALB,CAT,TT,170.342053084077
162888,AFR,AMA,CAT,TT,747.808331292171
163272,AFR,AME,CAT,TT,77147.0589594898
163656,AFR,AMN,CAT,TT,63395.0915481251
164040,AFR,AMS,CAT,TT,13751.9674113647
164424,AFR,ANE,CAT,TT,312255.084127042
164808,AFR,AOA,CAT,TT,65.9607338486457
165192,AFR,AOZ,CAT,TT,2816.38401245864
165576,AFR,APEC,CAT,TT,451251.981327482
165960,AFR,ARG,CAT,TT,1051.32057410603
166344,AFR,ASEA,CAT,TT,64056.2713012616
166728,AFR,ASO,CAT,TT,505652.283760153
167112,AFR,ASS,CAT,TT,123758.367467605
167496,AFR,AUS,CAT,TT,4815.27617156057
167880,AFR,AUT,CAT,TT,2180.84947069291
168264,AFR,BAL,CAT,TT,922.524001770313
168648,AFR,BEL,CAT,TT,9467.6299540892
169032,AFR,BGD,CAT,TT,4454.79782901279
169416,AFR,BGR,CAT,TT,967.267936279027
169800,AFR,BIH,CAT,TT,67.9115278631713
170184,AFR,BLR,CAT,TT,239.976230165033
170568,AFR,BLX,CAT,TT,9605.8810682042
170952,AFR,BOL,CAT,TT,43.8287372501374
171336,AFR,BRA,CAT,TT,9689.71410331957
171720,AFR,BRIC,CAT,TT,196672.060403685
172104,AFR,BRN,CAT,TT,609.271367625184
172488,AFR,CAL,CAT,TT,133.638795574985
172872,AFR,CAN,CAT,TT,7446.32802489366
173256,AFR,CAU,CAT,TT,1105.49024969786
173640,AFR,CEA,CAT,TT,690.512356697877
174024,AFR,CEI,CAT,TT,8232.36906585311
174408,AFR,CHE,CAT,TT,24298.7205860297
174792,AFR,CHL,CAT,TT,483.294183030116
175176,AFR,CHN,CAT,TT,181917.617426785
175560,AFR,CIV,CAT,TT,2755.92229048782
175944,AFR,CMR,CAT,TT,2371.62848653389
176328,AFR,COL,CAT,TT,314.457450780133
176712,AFR,CSK,CAT,TT,2609.83201314308
177096,AFR,CYP,CAT,TT,627.210807740704
177480,AFR,CZE,CAT,TT,1752.77712744482
